Time [s]	Pressure [MPa]
     0	     0
1.560000e-04	1.500000e+00
3.120000e-04	1.368310e+00
4.680000e-04	1.248053e+00
6.240000e-04	1.138247e+00
7.800000e-04	1.037992e+00
9.360000e-04	9.464646e-01
1.092000e-03	8.629120e-01
1.248000e-03	7.866463e-01
1.404000e-03	7.170382e-01
1.560000e-03	6.535123e-01
1.716000e-03	5.955425e-01
1.872000e-03	5.426480e-01
2.028000e-03	4.943889e-01
2.184000e-03	4.503635e-01
2.340000e-03	4.102044e-01
2.496000e-03	3.735758e-01
2.652000e-03	3.401707e-01
2.808000e-03	3.097089e-01
2.964000e-03	2.819339e-01
3.120000e-03	2.566117e-01
3.276000e-03	2.335282e-01
3.432000e-03	2.124879e-01
3.588000e-03	1.933124e-01
3.744000e-03	1.758384e-01
3.900000e-03	1.599169e-01
4.056000e-03	1.454119e-01
4.212000e-03	1.321991e-01
4.368000e-03	1.201649e-01
4.524000e-03	1.092056e-01
4.680000e-03	9.922675e-02
4.836000e-03	9.014182e-02
4.992000e-03	8.187198e-02
5.148000e-03	7.434521e-02
5.304000e-03	6.749581e-02
5.460000e-03	6.126379e-02
5.616000e-03	5.559441e-02
5.772000e-03	5.043775e-02
5.928000e-03	4.574822e-02
6.084000e-03	4.148425e-02
6.240000e-03	3.760791e-02
6.396000e-03	3.408463e-02
6.552000e-03	3.088284e-02
6.708000e-03	2.797378e-02
6.864000e-03	2.533121e-02
7.020000e-03	2.293121e-02
7.176000e-03	2.075198e-02
7.332000e-03	1.877364e-02
7.488000e-03	1.697808e-02
7.644000e-03	1.534878e-02
7.800000e-03	1.387071e-02
7.956000e-03	1.253015e-02
8.112000e-03	1.131463e-02
8.268000e-03	1.021277e-02
8.424000e-03	9.214205e-03
8.580000e-03	8.309517e-03
8.736000e-03	7.490113e-03
8.892000e-03	6.748176e-03
9.048000e-03	6.076592e-03
9.204000e-03	5.468885e-03
9.360000e-03	4.919164e-03
9.516000e-03	4.422067e-03
9.672000e-03	3.972719e-03
9.828000e-03	3.566685e-03
9.984000e-03	3.199932e-03
1.014000e-02	2.868795e-03
1.029600e-02	2.569939e-03
1.045200e-02	2.300338e-03
1.060800e-02	2.057238e-03
1.076400e-02	1.838140e-03
1.092000e-02	1.640772e-03
1.107600e-02	1.463072e-03
1.123200e-02	1.303168e-03
1.138800e-02	1.159360e-03
1.154400e-02	1.030106e-03
1.170000e-02	9.140065e-04
1.185600e-02	8.097927e-04
1.201200e-02	7.163133e-04
1.216800e-02	6.325247e-04
1.232400e-02	5.574812e-04
1.248000e-02	4.903258e-04
1.263600e-02	4.302822e-04
1.279200e-02	3.766473e-04
1.294800e-02	3.287848e-04
1.310400e-02	2.861185e-04
1.326000e-02	2.481275e-04
1.341600e-02	2.143404e-04
1.357200e-02	1.843312e-04
1.372800e-02	1.577146e-04
1.388400e-02	1.341429e-04
1.404000e-02	1.133019e-04
1.419600e-02	9.490790e-05
1.435200e-02	7.870508e-05
1.450800e-02	6.446265e-05
1.466400e-02	5.197256e-05
1.482000e-02	4.104736e-05
1.497600e-02	3.151823e-05
1.513200e-02	2.323324e-05
1.528800e-02	1.605569e-05
1.544400e-02	9.862695e-06
1.560000e-02	4.543845e-06
1.575600e-02	     0
