Time [s]	Pressure [MPa]
     0 	      0
2.002950e-05 	 1.675020e+00
4.005900e-05 	 1.650260e+00
6.008840e-05 	 1.625860e+00
8.011770e-05 	 1.601830e+00
1.001470e-04 	 1.578410e+00
1.201760e-04 	 1.555060e+00
1.402060e-04 	 1.532060e+00
1.600080e-04 	 1.509390e+00
1.800370e-04 	 1.487050e+00
2.000660e-04 	 1.465040e+00
2.200960e-04 	 1.443590e+00
2.401250e-04 	 1.422220e+00
2.601550e-04 	 1.401160e+00
2.801860e-04 	 1.380400e+00
3.002170e-04 	 1.359950e+00
3.200200e-04 	 1.340020e+00
3.400500e-04 	 1.320160e+00
3.600810e-04 	 1.300590e+00
3.801120e-04 	 1.281310e+00
4.001420e-04 	 1.262310e+00
4.201730e-04 	 1.243580e+00
4.402040e-04 	 1.225340e+00
4.600070e-04 	 1.207160e+00
4.800370e-04 	 1.189240e+00
5.000670e-04 	 1.171590e+00
5.200950e-04 	 1.154190e+00
5.401230e-04 	 1.137050e+00
5.601510e-04 	 1.120350e+00
5.801790e-04 	 1.103710e+00
6.002070e-04 	 1.087310e+00
6.200080e-04 	 1.071150e+00
6.400360e-04 	 1.055220e+00
6.600640e-04 	 1.039530e+00
6.800920e-04 	 1.024250e+00
7.001200e-04 	 1.009010e+00
7.201480e-04 	 9.940020e-01
7.401760e-04 	 9.792110e-01
7.602040e-04 	 9.646360e-01
7.800050e-04 	 9.502760e-01
8.000330e-04 	 9.362860e-01
8.200610e-04 	 9.223420e-01
8.400890e-04 	 9.086020e-01
8.601170e-04 	 8.950650e-01
8.801450e-04 	 8.817260e-01
9.001730e-04 	 8.685840e-01
9.202010e-04 	 8.557800e-01
9.400020e-04 	 8.430190e-01
9.600300e-04 	 8.304450e-01
9.800580e-04 	 8.180570e-01
1.000090e-03 	 8.058500e-01
1.020110e-03 	 7.938230e-01
1.040140e-03 	 7.821060e-01
1.060170e-03 	 7.704280e-01
1.080200e-03 	 7.589230e-01
1.100230e-03 	 7.475860e-01
1.120030e-03 	 7.364160e-01
1.140060e-03 	 7.254110e-01
1.160080e-03 	 7.146900e-01
1.180110e-03 	 7.040050e-01
1.200140e-03 	 6.934770e-01
1.220170e-03 	 6.831040e-01
1.240200e-03 	 6.728850e-01
1.260220e-03 	 6.628160e-01
1.280020e-03 	 6.530070e-01
1.300050e-03 	 6.432310e-01
1.320080e-03 	 6.335990e-01
1.340110e-03 	 6.241090e-01
1.360140e-03 	 6.147590e-01
1.380160e-03 	 6.055470e-01
1.400190e-03 	 5.965730e-01
1.420220e-03 	 5.876300e-01
1.440020e-03 	 5.788180e-01
1.460050e-03 	 5.701370e-01
1.480080e-03 	 5.615840e-01
1.500110e-03 	 5.531570e-01
1.520130e-03 	 5.449480e-01
1.540160e-03 	 5.367670e-01
1.560190e-03 	 5.287070e-01
1.580220e-03 	 5.207660e-01
1.600020e-03 	 5.129420e-01
1.620050e-03 	 5.052340e-01
1.640070e-03 	 4.977260e-01
1.660100e-03 	 4.902430e-01
1.680130e-03 	 4.828710e-01
1.700160e-03 	 4.756080e-01
1.720190e-03 	 4.684520e-01
1.740220e-03 	 4.614030e-01
1.760020e-03 	 4.545360e-01
1.780040e-03 	 4.476920e-01
1.800070e-03 	 4.409500e-01
1.820100e-03 	 4.343080e-01
1.840130e-03 	 4.277640e-01
1.860160e-03 	 4.213170e-01
1.880180e-03 	 4.150370e-01
1.900210e-03 	 4.087790e-01
1.920010e-03 	 4.026140e-01
1.940040e-03 	 3.965400e-01
1.960070e-03 	 3.905560e-01
1.980110e-03 	 3.846610e-01
2.000150e-03 	 3.789190e-01
2.020190e-03 	 3.731960e-01
2.040230e-03 	 3.675590e-01
2.060040e-03 	 3.620050e-01
2.080080e-03 	 3.565340e-01
2.100110e-03 	 3.511440e-01
2.120150e-03 	 3.458940e-01
2.140190e-03 	 3.406630e-01
2.160000e-03 	 3.355080e-01
2.180040e-03 	 3.304310e-01
2.200080e-03 	 3.254290e-01
2.220120e-03 	 3.205570e-01
2.240150e-03 	 3.157020e-01
2.260190e-03 	 3.109200e-01
2.280000e-03 	 3.062080e-01
2.300040e-03 	 3.015670e-01
2.320080e-03 	 2.969940e-01
2.340120e-03 	 2.925410e-01
2.360160e-03 	 2.881030e-01
2.380190e-03 	 2.837310e-01
2.400010e-03 	 2.794240e-01
2.420040e-03 	 2.751820e-01
2.440080e-03 	 2.710030e-01
2.460120e-03 	 2.669320e-01
2.480160e-03 	 2.628760e-01
2.500200e-03 	 2.588800e-01
2.520010e-03 	 2.549440e-01
2.540050e-03 	 2.510670e-01
2.560080e-03 	 2.472480e-01
2.580120e-03 	 2.435280e-01
2.600160e-03 	 2.398210e-01
2.620200e-03 	 2.361690e-01
2.640010e-03 	 2.325720e-01
2.660050e-03 	 2.290290e-01
2.680090e-03 	 2.255390e-01
2.700120e-03 	 2.221400e-01
2.720160e-03 	 2.187520e-01
2.740200e-03 	 2.154160e-01
2.760010e-03 	 2.121290e-01
2.780050e-03 	 2.088920e-01
2.800090e-03 	 2.057030e-01
2.820130e-03 	 2.025970e-01
2.840170e-03 	 1.995020e-01
2.860200e-03 	 1.964540e-01
2.880010e-03 	 1.934510e-01
2.900050e-03 	 1.904930e-01
2.920090e-03 	 1.875800e-01
2.940130e-03 	 1.847420e-01
2.960170e-03 	 1.819150e-01
2.980210e-03 	 1.791300e-01
3.000020e-03 	 1.763870e-01
3.020060e-03 	 1.736850e-01
