Time [s]	Pressure [MPa]
     0 	      0
4.005900e-05 	 6.080420e+00
8.011770e-05 	 5.681550e+00
1.201760e-04 	 5.306450e+00
1.600080e-04 	 4.955800e+00
2.000660e-04 	 4.629820e+00
2.401250e-04 	 4.323330e+00
2.801860e-04 	 4.036860e+00
3.200200e-04 	 3.770580e+00
3.600810e-04 	 3.520250e+00
4.001420e-04 	 3.286320e+00
4.402040e-04 	 3.068910e+00
4.800370e-04 	 2.864560e+00
5.200950e-04 	 2.673620e+00
5.601510e-04 	 2.496200e+00
6.002070e-04 	 2.329470e+00
6.400360e-04 	 2.173700e+00
6.800920e-04 	 2.028990e+00
7.201480e-04 	 1.893010e+00
7.602040e-04 	 1.766010e+00
8.000330e-04 	 1.648040e+00
8.400890e-04 	 1.537210e+00
8.801450e-04 	 1.433710e+00
9.202010e-04 	 1.337600e+00
9.600300e-04 	 1.247320e+00
1.000090e-03 	 1.163030e+00
1.040140e-03 	 1.084770e+00
1.080200e-03 	 1.011270e+00
1.120030e-03 	 9.426630e-01
1.160080e-03 	 8.789760e-01
1.200140e-03 	 8.191820e-01
1.240200e-03 	 7.633770e-01
1.280020e-03 	 7.115850e-01
1.320080e-03 	 6.629710e-01
1.360140e-03 	 6.176100e-01
1.400190e-03 	 5.755210e-01
1.440020e-03 	 5.360230e-01
1.480080e-03 	 4.991780e-01
1.520130e-03 	 4.649990e-01
1.560190e-03 	 4.329320e-01
1.600020e-03 	 4.030270e-01
1.640070e-03 	 3.752930e-01
1.680130e-03 	 3.492800e-01
1.720190e-03 	 3.250270e-01
1.760020e-03 	 3.025410e-01
1.800070e-03 	 2.814560e-01
1.840130e-03 	 2.618030e-01
1.880180e-03 	 2.435870e-01
1.920010e-03 	 2.265120e-01
1.960070e-03 	 2.106020e-01
2.000150e-03 	 1.958590e-01
2.040230e-03 	 1.820440e-01
2.080080e-03 	 1.691750e-01
2.120150e-03 	 1.572550e-01
2.160000e-03 	 1.460890e-01
2.200080e-03 	 1.356910e-01
2.240150e-03 	 1.260630e-01
2.280000e-03 	 1.170480e-01
2.320080e-03 	 1.086550e-01
2.360160e-03 	 1.008880e-01
2.400010e-03 	 9.361650e-02
2.440080e-03 	 8.685090e-02
2.480160e-03 	 8.059120e-02
2.520010e-03 	 7.473420e-02
2.560080e-03 	 6.928670e-02
2.600160e-03 	 6.424880e-02
2.640010e-03 	 5.953700e-02
2.680090e-03 	 5.515680e-02
2.720160e-03 	 5.110760e-02
2.760010e-03 	 4.732250e-02
2.800090e-03 	 4.380540e-02
2.840170e-03 	 4.055590e-02
2.880010e-03 	 3.751970e-02
2.920090e-03 	 3.470010e-02
2.960170e-03 	 3.209640e-02
3.000020e-03 	 2.966510e-02
3.040090e-03 	 2.740840e-02
3.080170e-03 	 2.532590e-02
3.120020e-03 	 2.338230e-02
3.160100e-03 	 2.157950e-02
3.200170e-03 	 1.991690e-02
3.240020e-03 	 1.836630e-02
3.280100e-03 	 1.692900e-02
3.320170e-03 	 1.560430e-02
3.360020e-03 	 1.436990e-02
3.400100e-03 	 1.322640e-02
3.440180e-03 	 1.217350e-02
3.480030e-03 	 1.119300e-02
3.520100e-03 	 1.028560e-02
3.560180e-03 	 9.450670e-03
3.600030e-03 	 8.673890e-03
3.640110e-03 	 7.955700e-03
3.680180e-03 	 7.295510e-03
3.720030e-03 	 6.681890e-03
