Time [s]	Pressure [MPa]
     0 	      0
4.005900e-05 	 7.394570e+00
8.011770e-05 	 6.909270e+00
1.201760e-04 	 6.457970e+00
1.600080e-04 	 6.033490e+00
2.000660e-04 	 5.636600e+00
2.401250e-04 	 5.267570e+00
2.801860e-04 	 4.920520e+00
3.200200e-04 	 4.596070e+00
3.600810e-04 	 4.294430e+00
4.001420e-04 	 4.010800e+00
4.402040e-04 	 3.745670e+00
4.800370e-04 	 3.499220e+00
5.200950e-04 	 3.267520e+00
5.601510e-04 	 3.050960e+00
6.002070e-04 	 2.849690e+00
6.400360e-04 	 2.660490e+00
6.800920e-04 	 2.483680e+00
7.201480e-04 	 2.319380e+00
7.602040e-04 	 2.164950e+00
8.000330e-04 	 2.020670e+00
8.400890e-04 	 1.886610e+00
8.801450e-04 	 1.760620e+00
9.202010e-04 	 1.642930e+00
9.600300e-04 	 1.533600e+00
1.000090e-03 	 1.430880e+00
1.040140e-03 	 1.334930e+00
1.080200e-03 	 1.245810e+00
1.120030e-03 	 1.162090e+00
1.160080e-03 	 1.083910e+00
1.200140e-03 	 1.011300e+00
1.240200e-03 	 9.431110e-01
1.280020e-03 	 8.794420e-01
1.320080e-03 	 8.203260e-01
1.360140e-03 	 7.648120e-01
1.400190e-03 	 7.129910e-01
1.440020e-03 	 6.648860e-01
1.480080e-03 	 6.197210e-01
1.520130e-03 	 5.775690e-01
1.560190e-03 	 5.384470e-01
1.600020e-03 	 5.017250e-01
1.640070e-03 	 4.674600e-01
1.680130e-03 	 4.356650e-01
1.720190e-03 	 4.058270e-01
1.760020e-03 	 3.779920e-01
1.800070e-03 	 3.521690e-01
1.840130e-03 	 3.279420e-01
1.880180e-03 	 3.053460e-01
1.920010e-03 	 2.843890e-01
1.960070e-03 	 2.647320e-01
2.000150e-03 	 2.464030e-01
2.040230e-03 	 2.294080e-01
2.080080e-03 	 2.134710e-01
2.120150e-03 	 1.986150e-01
2.160000e-03 	 1.848440e-01
2.200080e-03 	 1.719340e-01
2.240150e-03 	 1.599030e-01
2.280000e-03 	 1.487540e-01
2.320080e-03 	 1.383050e-01
2.360160e-03 	 1.285710e-01
2.400010e-03 	 1.195530e-01
2.440080e-03 	 1.111030e-01
2.480160e-03 	 1.032340e-01
2.520010e-03 	 9.594700e-02
2.560080e-03 	 8.912150e-02
2.600160e-03 	 8.276700e-02
2.640010e-03 	 7.688410e-02
2.680090e-03 	 7.137610e-02
2.720160e-03 	 6.625010e-02
2.760010e-03 	 6.150620e-02
2.800090e-03 	 5.706650e-02
2.840170e-03 	 5.293610e-02
2.880010e-03 	 4.911530e-02
2.920090e-03 	 4.554080e-02
2.960170e-03 	 4.221690e-02
3.000020e-03 	 3.914330e-02
3.040090e-03 	 3.626920e-02
3.080170e-03 	 3.359770e-02
3.120020e-03 	 3.112870e-02
3.160100e-03 	 2.882090e-02
3.200170e-03 	 2.667690e-02
3.240020e-03 	 2.469630e-02
3.280100e-03 	 2.284600e-02
3.320170e-03 	 2.112800e-02
3.360020e-03 	 1.954170e-02
3.400100e-03 	 1.806060e-02
3.440180e-03 	 1.668620e-02
3.480030e-03 	 1.541790e-02
3.520100e-03 	 1.423450e-02
3.560180e-03 	 1.313690e-02
3.600030e-03 	 1.212480e-02
3.640110e-03 	 1.118100e-02
3.680180e-03 	 1.030620e-02
3.720030e-03 	 9.500130e-03
3.760110e-03 	 8.748980e-03
3.800180e-03 	 8.053320e-03
3.840030e-03 	 7.412760e-03
