Time [s]	Pressure [MPa]
     0 	      0
4.005900e-05 	 2.435230e+01
8.011770e-05 	 2.395210e+01
1.201760e-04 	 2.354970e+01
1.600080e-04 	 2.314720e+01
2.000660e-04 	 2.274480e+01
2.401250e-04 	 2.234460e+01
2.801860e-04 	 2.194220e+01
3.200200e-04 	 2.153980e+01
3.600810e-04 	 2.113740e+01
4.001420e-04 	 2.073730e+01
4.402040e-04 	 2.033490e+01
4.800370e-04 	 1.993250e+01
5.200950e-04 	 1.953010e+01
5.601510e-04 	 1.912990e+01
6.002070e-04 	 1.872750e+01
6.400360e-04 	 1.832510e+01
6.800920e-04 	 1.792270e+01
7.201480e-04 	 1.752260e+01
7.602040e-04 	 1.712020e+01
8.000330e-04 	 1.671780e+01
8.400890e-04 	 1.631540e+01
8.801450e-04 	 1.591530e+01
9.202010e-04 	 1.551290e+01
9.600300e-04 	 1.511050e+01
1.000090e-03 	 1.470810e+01
1.040140e-03 	 1.430800e+01
1.080200e-03 	 1.390560e+01
1.120030e-03 	 1.350320e+01
1.160080e-03 	 1.310080e+01
1.200140e-03 	 1.270060e+01
1.240200e-03 	 1.229820e+01
1.280020e-03 	 1.189580e+01
1.320080e-03 	 1.149340e+01
1.360140e-03 	 1.109330e+01
1.400190e-03 	 1.069090e+01
1.440020e-03 	 1.028850e+01
1.480080e-03 	 9.886110e+00
1.520130e-03 	 9.485990e+00
1.560190e-03 	 9.083590e+00
1.600020e-03 	 8.681190e+00
1.640070e-03 	 8.278780e+00
1.680130e-03 	 7.878670e+00
1.720190e-03 	 7.476230e+00
1.760020e-03 	 7.073620e+00
1.800070e-03 	 6.671010e+00
1.840130e-03 	 6.270690e+00
1.880180e-03 	 5.868080e+00
1.920010e-03 	 5.467760e+00
1.960070e-03 	 5.065150e+00
2.000150e-03 	 4.662540e+00
2.040230e-03 	 4.262230e+00
2.080080e-03 	 3.859620e+00
2.120150e-03 	 3.457010e+00
2.160000e-03 	 3.056690e+00
2.200080e-03 	 2.654080e+00
2.240150e-03 	 2.251470e+00
2.280000e-03 	 1.851150e+00
2.320080e-03 	 1.448540e+00
2.360160e-03 	 1.045930e+00
2.400010e-03 	 6.456120e-01
2.440080e-03 	 2.430030e-01
2.480160e-03 	      0
2.520010e-03 	      0
2.560080e-03 	      0
2.600160e-03 	      0
2.640010e-03 	      0
2.680090e-03 	      0
2.720160e-03 	      0
2.760010e-03 	      0
2.800090e-03 	      0
2.840170e-03 	      0
2.880010e-03 	      0
2.920090e-03 	      0
2.960170e-03 	      0
3.000020e-03 	      0
3.040090e-03 	      0
3.080170e-03 	      0
3.120020e-03 	      0
3.160100e-03 	      0
3.200170e-03 	      0
3.240020e-03 	      0
3.280100e-03 	      0
3.320170e-03 	      0
3.360020e-03 	      0
3.400100e-03 	      0
3.440180e-03 	      0
3.480030e-03 	      0
3.520100e-03 	      0
3.560180e-03 	      0
3.600030e-03 	      0
3.640110e-03 	      0
3.680180e-03 	      0
3.720030e-03 	      0
3.760110e-03 	      0
3.800180e-03 	      0
3.840030e-03 	      0
3.880110e-03 	      0
3.920190e-03 	      0
3.960040e-03 	      0
4.000110e-03 	      0
4.040190e-03 	      0
4.080040e-03 	      0
4.120110e-03 	      0
4.160190e-03 	      0
4.200040e-03 	      0
4.240120e-03 	      0
4.280190e-03 	      0
4.320040e-03 	      0
4.360120e-03 	      0
4.400200e-03 	      0
4.440040e-03 	      0
4.480120e-03 	      0
4.520200e-03 	      0
4.560050e-03 	      0
4.600120e-03 	      0
4.640200e-03 	      0
4.680050e-03 	      0
4.720130e-03 	      0
4.760200e-03 	      0
4.800050e-03 	      0
4.840130e-03 	      0
4.880200e-03 	      0
4.920050e-03 	      0
4.960130e-03 	      0
5.000210e-03 	      0
5.040060e-03 	      0
5.080130e-03 	      0
5.120210e-03 	      0
5.160060e-03 	      0
5.200140e-03 	      0
5.240210e-03 	      0
5.280060e-03 	      0
5.320140e-03 	      0
5.360210e-03 	      0
5.400060e-03 	      0
5.440140e-03 	      0
5.480220e-03 	      0
5.520070e-03 	      0
5.560140e-03 	      0
5.600220e-03 	      0
5.640070e-03 	      0
5.680140e-03 	      0
5.720220e-03 	      0
5.760070e-03 	      0
5.800150e-03 	      0
5.840220e-03 	      0
5.880070e-03 	      0
5.920150e-03 	      0
5.960230e-03 	      0
6.000070e-03 	      0
6.040150e-03 	      0
6.080000e-03 	      0
6.120080e-03 	      0
6.160150e-03 	      0
6.200000e-03 	      0
6.240080e-03 	      0
6.280160e-03 	      0
6.320000e-03 	      0
6.360080e-03 	      0
6.400160e-03 	      0
6.440010e-03 	      0
6.480080e-03 	      0
6.520160e-03 	      0
6.560010e-03 	      0
6.600090e-03 	      0
6.640160e-03 	      0
6.680010e-03 	      0
6.720090e-03 	      0
6.760170e-03 	      0
6.800010e-03 	      0
6.840090e-03 	      0
6.880170e-03 	      0
6.920020e-03 	      0
6.960090e-03 	      0
7.000170e-03 	      0
7.040020e-03 	      0
7.080100e-03 	      0
7.120170e-03 	      0
7.160020e-03 	      0
7.200100e-03 	      0
7.240170e-03 	      0
7.280020e-03 	      0
7.320100e-03 	      0
7.360180e-03 	      0
7.400030e-03 	      0
7.440100e-03 	      0
7.480180e-03 	      0
7.520030e-03 	      0
7.560100e-03 	      0
7.600180e-03 	      0
7.640030e-03 	      0
7.680110e-03 	      0
7.720180e-03 	      0
7.760030e-03 	      0
7.800110e-03 	      0
7.840130e-03 	      0
7.880120e-03 	      0
7.920120e-03 	      0
7.960110e-03 	      0
8.000110e-03 	      0
8.040100e-03 	      0
8.080100e-03 	      0
8.120090e-03 	      0
8.160090e-03 	      0
8.200080e-03 	      0
8.240080e-03 	      0
8.280070e-03 	      0
8.320070e-03 	      0
8.360060e-03 	      0
8.400060e-03 	      0
8.440050e-03 	      0
8.480050e-03 	      0
8.520040e-03 	      0
8.560030e-03 	      0
8.600030e-03 	      0
8.640020e-03 	      0
8.680020e-03 	      0
8.720010e-03 	      0
8.760010e-03 	      0
8.800000e-03 	      0
8.840220e-03 	      0
8.880220e-03 	      0
8.920210e-03 	      0
8.960210e-03 	      0
9.000200e-03 	      0
9.040200e-03 	      0
9.080190e-03 	      0
9.120190e-03 	      0
9.160180e-03 	      0
9.200180e-03 	      0
9.240170e-03 	      0
9.280170e-03 	      0
9.320160e-03 	      0
9.360160e-03 	      0
9.400150e-03 	      0
9.440150e-03 	      0
9.480140e-03 	      0
9.520130e-03 	      0
9.560130e-03 	      0
9.600120e-03 	      0
9.640120e-03 	      0
9.680110e-03 	      0
9.720110e-03 	      0
9.760100e-03 	      0
9.800100e-03 	      0
9.840090e-03 	      0
9.880090e-03 	      0
9.920080e-03 	      0
9.960080e-03 	      0
1.000010e-02 	      0
1.004010e-02 	      0
1.008010e-02 	      0
1.012010e-02 	      0
1.016010e-02 	      0
1.020000e-02 	      0
1.024000e-02 	      0
1.028000e-02 	      0
1.032000e-02 	      0
1.036000e-02 	      0
1.040000e-02 	      0
1.044000e-02 	      0
1.048000e-02 	      0
1.052000e-02 	      0
1.056020e-02 	      0
1.060020e-02 	      0
1.064020e-02 	      0
1.068020e-02 	      0
1.072020e-02 	      0
1.076020e-02 	      0
1.080020e-02 	      0
1.084020e-02 	      0
1.088020e-02 	      0
1.092020e-02 	      0
1.096020e-02 	      0
1.100020e-02 	      0
1.104020e-02 	      0
1.108020e-02 	      0
1.112020e-02 	      0
1.116010e-02 	      0
1.120010e-02 	      0
1.124010e-02 	      0
1.128010e-02 	      0
1.132010e-02 	      0
1.136010e-02 	      0
