Time [s]	Pressure [MPa]
     0 	      0
2.002950e-05 	 1.061640e+01
4.005900e-05 	 1.039630e+01
6.008840e-05 	 1.018080e+01
8.011770e-05 	 9.969680e+00
1.001470e-04 	 9.765250e+00
1.201760e-04 	 9.562710e+00
1.402060e-04 	 9.364340e+00
1.600080e-04 	 9.170070e+00
1.800370e-04 	 8.979790e+00
2.000660e-04 	 8.793450e+00
2.200960e-04 	 8.612990e+00
2.401250e-04 	 8.434210e+00
2.601550e-04 	 8.259110e+00
2.801860e-04 	 8.087630e+00
3.002170e-04 	 7.919680e+00
3.200200e-04 	 7.757050e+00
3.400500e-04 	 7.595920e+00
3.600810e-04 	 7.438120e+00
3.801120e-04 	 7.283570e+00
4.001420e-04 	 7.132220e+00
4.201730e-04 	 6.983990e+00
4.402040e-04 	 6.840450e+00
4.600070e-04 	 6.698250e+00
4.800370e-04 	 6.558980e+00
5.000670e-04 	 6.422590e+00
5.200950e-04 	 6.289010e+00
5.401230e-04 	 6.158200e+00
5.601510e-04 	 6.031530e+00
5.801790e-04 	 5.906030e+00
6.002070e-04 	 5.783130e+00
6.200080e-04 	 5.662770e+00
6.400360e-04 	 5.544890e+00
6.600640e-04 	 5.429460e+00
6.800920e-04 	 5.317680e+00
7.001200e-04 	 5.206940e+00
7.201480e-04 	 5.098490e+00
7.401760e-04 	 4.992290e+00
7.602040e-04 	 4.888280e+00
7.800050e-04 	 4.786430e+00
8.000330e-04 	 4.687800e+00
8.200610e-04 	 4.590090e+00
8.400890e-04 	 4.494410e+00
8.601170e-04 	 4.400700e+00
8.801450e-04 	 4.308940e+00
9.001730e-04 	 4.219070e+00
9.202010e-04 	 4.132060e+00
9.400020e-04 	 4.045860e+00
9.600300e-04 	 3.961440e+00
9.800580e-04 	 3.878770e+00
1.000090e-03 	 3.797820e+00
1.020110e-03 	 3.718540e+00
1.040140e-03 	 3.641780e+00
1.060170e-03 	 3.565740e+00
1.080200e-03 	 3.491270e+00
1.100230e-03 	 3.418350e+00
1.120030e-03 	 3.346940e+00
1.140060e-03 	 3.277000e+00
1.160080e-03 	 3.209290e+00
1.180110e-03 	 3.142220e+00
1.200140e-03 	 3.076540e+00
1.220170e-03 	 3.012210e+00
1.240200e-03 	 2.949230e+00
1.260220e-03 	 2.887550e+00
1.280020e-03 	 2.827830e+00
1.300050e-03 	 2.768670e+00
1.320080e-03 	 2.710740e+00
1.340110e-03 	 2.654010e+00
1.360140e-03 	 2.598460e+00
1.380160e-03 	 2.544060e+00
1.400190e-03 	 2.491390e+00
1.420220e-03 	 2.439220e+00
1.440020e-03 	 2.388130e+00
1.460050e-03 	 2.338110e+00
1.480080e-03 	 2.289120e+00
1.500110e-03 	 2.241150e+00
1.520130e-03 	 2.194710e+00
1.540160e-03 	 2.148700e+00
1.560190e-03 	 2.103660e+00
1.580220e-03 	 2.059540e+00
1.600020e-03 	 2.016350e+00
1.620050e-03 	 1.974050e+00
1.640070e-03 	 1.933100e+00
1.660100e-03 	 1.892540e+00
1.680130e-03 	 1.852820e+00
1.700160e-03 	 1.813930e+00
1.720190e-03 	 1.775850e+00
1.740220e-03 	 1.738560e+00
1.760020e-03 	 1.702460e+00
1.780040e-03 	 1.666700e+00
1.800070e-03 	 1.631680e+00
1.820100e-03 	 1.597400e+00
1.840130e-03 	 1.563820e+00
1.860160e-03 	 1.530950e+00
1.880180e-03 	 1.499130e+00
1.900210e-03 	 1.467600e+00
1.920010e-03 	 1.436740e+00
1.940040e-03 	 1.406520e+00
1.960070e-03 	 1.376920e+00
1.980110e-03 	 1.347950e+00
2.000150e-03 	 1.319900e+00
2.020190e-03 	 1.292110e+00
2.040230e-03 	 1.264910e+00
2.060040e-03 	 1.238270e+00
2.080080e-03 	 1.212190e+00
2.100110e-03 	 1.186650e+00
2.120150e-03 	 1.161930e+00
2.140190e-03 	 1.137440e+00
2.160000e-03 	 1.113470e+00
2.180040e-03 	 1.089990e+00
2.200080e-03 	 1.067010e+00
2.220120e-03 	 1.044760e+00
2.240150e-03 	 1.022720e+00
2.260190e-03 	 1.001140e+00
2.280000e-03 	 9.800170e-01
2.300040e-03 	 9.593320e-01
2.320080e-03 	 9.390800e-01
2.340120e-03 	 9.194740e-01
2.360160e-03 	 9.000560e-01
2.380190e-03 	 8.810440e-01
2.400010e-03 	 8.624300e-01
2.420040e-03 	 8.442050e-01
2.440080e-03 	 8.263620e-01
2.460120e-03 	 8.090890e-01
2.480160e-03 	 7.919820e-01
2.500200e-03 	 7.752330e-01
2.520010e-03 	 7.588340e-01
2.540050e-03 	 7.427800e-01
2.560080e-03 	 7.270610e-01
2.580120e-03 	 7.118460e-01
2.600160e-03 	 6.967760e-01
2.620200e-03 	 6.820220e-01
2.640010e-03 	 6.675780e-01
2.660050e-03 	 6.534360e-01
2.680090e-03 	 6.395910e-01
2.700120e-03 	 6.261890e-01
2.720160e-03 	 6.129170e-01
2.740200e-03 	 5.999220e-01
2.760010e-03 	 5.872000e-01
2.780050e-03 	 5.747450e-01
2.800090e-03 	 5.625520e-01
2.820130e-03 	 5.507500e-01
2.840170e-03 	 5.390610e-01
2.860200e-03 	 5.276170e-01
2.880010e-03 	 5.164150e-01
2.900050e-03 	 5.054470e-01
2.920090e-03 	 4.947100e-01
2.940130e-03 	 4.843170e-01
2.960170e-03 	 4.740250e-01
2.980210e-03 	 4.639490e-01
3.000020e-03 	 4.540850e-01
3.020060e-03 	 4.444280e-01
3.040090e-03 	 4.349750e-01
3.060130e-03 	 4.258240e-01
3.080170e-03 	 4.167620e-01
3.100210e-03 	 4.078910e-01
3.120020e-03 	 3.992080e-01
3.140060e-03 	 3.907060e-01
3.160100e-03 	 3.823840e-01
3.180130e-03 	 3.743290e-01
3.200170e-03 	 3.663520e-01
3.220210e-03 	 3.585440e-01
3.240020e-03 	 3.508990e-01
3.260060e-03 	 3.434170e-01
3.280100e-03 	 3.360910e-01
3.300140e-03 	 3.290020e-01
3.320170e-03 	 3.219810e-01
3.340210e-03 	 3.151080e-01
3.360020e-03 	 3.083800e-01
3.380060e-03 	 3.017940e-01
3.400100e-03 	 2.953480e-01
3.420140e-03 	 2.891090e-01
3.440180e-03 	 2.829300e-01
3.460220e-03 	 2.768820e-01
3.480030e-03 	 2.709620e-01
3.500060e-03 	 2.651670e-01
3.520100e-03 	 2.594940e-01
3.540140e-03 	 2.540040e-01
3.560180e-03 	 2.485670e-01
3.580220e-03 	 2.432460e-01
3.600030e-03 	 2.380370e-01
3.620070e-03 	 2.329380e-01
3.640110e-03 	 2.279480e-01
3.660140e-03 	 2.231170e-01
3.680180e-03 	 2.183350e-01
3.700220e-03 	 2.136530e-01
3.720030e-03 	 2.090710e-01
3.740070e-03 	 2.045860e-01
3.760110e-03 	 2.001960e-01
3.780150e-03 	 1.959470e-01
3.800180e-03 	 1.917400e-01
3.820220e-03 	 1.876220e-01
3.840030e-03 	 1.835920e-01
3.860070e-03 	 1.796470e-01
3.880110e-03 	 1.757860e-01
3.900150e-03 	 1.720490e-01
3.920190e-03 	 1.683490e-01
3.940220e-03 	 1.647280e-01
3.960040e-03 	 1.611860e-01
3.980070e-03 	 1.577240e-01
4.000110e-03 	 1.543350e-01
4.020150e-03 	 1.510180e-01
4.040190e-03 	 1.477720e-01
4.060230e-03 	 1.445950e-01
4.080040e-03 	 1.414840e-01
4.100080e-03 	 1.384400e-01
4.120110e-03 	 1.354610e-01
4.140150e-03 	 1.325450e-01
4.160190e-03 	 1.296910e-01
4.180000e-03 	 1.268970e-01
4.200040e-03 	 1.241630e-01
4.220080e-03 	 1.214870e-01
4.240120e-03 	 1.188680e-01
4.260150e-03 	 1.163040e-01
4.280190e-03 	 1.137950e-01
4.300000e-03 	 1.113400e-01
4.320040e-03 	 1.089360e-01
4.340080e-03 	 1.065840e-01
4.360120e-03 	 1.042820e-01
4.380160e-03 	 1.020290e-01
4.400200e-03 	 9.982440e-02
4.420010e-03 	 9.766640e-02
4.440040e-03 	 9.555440e-02
4.460080e-03 	 9.348740e-02
4.480120e-03 	 9.146460e-02
4.500160e-03 	 8.948480e-02
4.520200e-03 	 8.754730e-02
4.540010e-03 	 8.565120e-02
4.560050e-03 	 8.379550e-02
4.580090e-03 	 8.197950e-02
4.600120e-03 	 8.020220e-02
4.620160e-03 	 7.846290e-02
4.640200e-03 	 7.676090e-02
4.660010e-03 	 7.509510e-02
4.680050e-03 	 7.346500e-02
4.700090e-03 	 7.186960e-02
4.720130e-03 	 7.030860e-02
4.740160e-03 	 6.878080e-02
4.760200e-03 	 6.728580e-02
4.780010e-03 	 6.582270e-02
4.800050e-03 	 6.439100e-02
4.820090e-03 	 6.299000e-02
4.840130e-03 	 6.161890e-02
4.860170e-03 	 6.027720e-02
4.880200e-03 	 5.896440e-02
4.900020e-03 	 5.767960e-02
4.920050e-03 	 5.642240e-02
4.940090e-03 	 5.519220e-02
4.960130e-03 	 5.398840e-02
4.980170e-03 	 5.279710e-02
5.000210e-03 	 5.164470e-02
5.020020e-03 	 5.051710e-02
5.040060e-03 	 4.941360e-02
5.060090e-03 	 4.833390e-02
5.080130e-03 	 4.727740e-02
5.100170e-03 	 4.624360e-02
5.120210e-03 	 4.523200e-02
5.140020e-03 	 4.424220e-02
5.160060e-03 	 4.327370e-02
5.180100e-03 	 4.232600e-02
5.200140e-03 	 4.139880e-02
5.220170e-03 	 4.049150e-02
5.240210e-03 	 3.960380e-02
5.260020e-03 	 3.873520e-02
5.280060e-03 	 3.788530e-02
5.300100e-03 	 3.705370e-02
5.320140e-03 	 3.624010e-02
5.340180e-03 	 3.544400e-02
5.360210e-03 	 3.466510e-02
5.380020e-03 	 3.390310e-02
5.400060e-03 	 3.315750e-02
5.420100e-03 	 3.242800e-02
5.440140e-03 	 3.171420e-02
5.460180e-03 	 3.101590e-02
5.480220e-03 	 3.033270e-02
5.500030e-03 	 2.966420e-02
5.520070e-03 	 2.901020e-02
5.540100e-03 	 2.837040e-02
5.560140e-03 	 2.774440e-02
5.580180e-03 	 2.713200e-02
5.600220e-03 	 2.653290e-02
5.620030e-03 	 2.594670e-02
5.640070e-03 	 2.537320e-02
5.660110e-03 	 2.481220e-02
5.680140e-03 	 2.426330e-02
5.700180e-03 	 2.372640e-02
5.720220e-03 	 2.320110e-02
5.740030e-03 	 2.268720e-02
5.760070e-03 	 2.218440e-02
5.780110e-03 	 2.169270e-02
5.800150e-03 	 2.121150e-02
5.820180e-03 	 2.074090e-02
5.840220e-03 	 2.028040e-02
5.860030e-03 	 1.983000e-02
5.880070e-03 	 1.938940e-02
5.900110e-03 	 1.895840e-02
5.920150e-03 	 1.853680e-02
5.940190e-03 	 1.812430e-02
5.960230e-03 	 1.772090e-02
5.980040e-03 	 1.732620e-02
6.000070e-03 	 1.694020e-02
6.020110e-03 	 1.656250e-02
6.040150e-03 	 1.619310e-02
6.060190e-03 	 1.583180e-02
6.080000e-03 	 1.547840e-02
6.100040e-03 	 1.513270e-02
6.120080e-03 	 1.479450e-02
6.140120e-03 	 1.446370e-02
6.160150e-03 	 1.414020e-02
6.180190e-03 	 1.382380e-02
6.200000e-03 	 1.351420e-02
6.220040e-03 	 1.321150e-02
6.240080e-03 	 1.291540e-02
6.260120e-03 	 1.262570e-02
6.280160e-03 	 1.234250e-02
6.300190e-03 	 1.206540e-02
6.320000e-03 	 1.179440e-02
6.340040e-03 	 1.152940e-02
6.360080e-03 	 1.127010e-02
6.380120e-03 	 1.101660e-02
6.400160e-03 	 1.076860e-02
6.420200e-03 	 1.052610e-02
6.440010e-03 	 1.028900e-02
6.460050e-03 	 1.005700e-02
6.480080e-03 	 9.830130e-03
6.500120e-03 	 9.608280e-03
6.520160e-03 	 9.391300e-03
6.540200e-03 	 9.179100e-03
6.560010e-03 	 8.971580e-03
6.580050e-03 	 8.768640e-03
6.600090e-03 	 8.570180e-03
6.620120e-03 	 8.376090e-03
6.640160e-03 	 8.186290e-03
6.660200e-03 	 8.000690e-03
6.680010e-03 	 7.819180e-03
6.700050e-03 	 7.639690e-03
6.720090e-03 	 7.466160e-03
6.740130e-03 	 7.296470e-03
6.760170e-03 	 7.130550e-03
6.780200e-03 	 6.968300e-03
6.800010e-03 	 6.809640e-03
6.820050e-03 	 6.654490e-03
6.840090e-03 	 6.502790e-03
6.860130e-03 	 6.354450e-03
6.880170e-03 	 6.209410e-03
6.900210e-03 	 6.067580e-03
6.920020e-03 	 5.928910e-03
6.940050e-03 	 5.793320e-03
6.960090e-03 	 5.660740e-03
6.980130e-03 	 5.531110e-03
7.000170e-03 	 5.404370e-03
7.020210e-03 	 5.280450e-03
7.040020e-03 	 5.159290e-03
7.060060e-03 	 5.040830e-03
7.080100e-03 	 4.925010e-03
7.100130e-03 	 4.811780e-03
7.120170e-03 	 4.701070e-03
7.140210e-03 	 4.592830e-03
7.160020e-03 	 4.487020e-03
7.180060e-03 	 4.383560e-03
7.200100e-03 	 4.282430e-03
7.220140e-03 	 4.183550e-03
7.240170e-03 	 4.086890e-03
7.260210e-03 	 3.992390e-03
7.280020e-03 	 3.900010e-03
7.300060e-03 	 3.809700e-03
7.320100e-03 	 3.721420e-03
7.340140e-03 	 3.635120e-03
7.360180e-03 	 3.550760e-03
7.380220e-03 	 3.468290e-03
7.400030e-03 	 3.387670e-03
7.420060e-03 	 3.308870e-03
7.440100e-03 	 3.231850e-03
7.460140e-03 	 3.156550e-03
7.480180e-03 	 3.082960e-03
7.500220e-03 	 3.011020e-03
7.520030e-03 	 2.940700e-03
7.540070e-03 	 2.871970e-03
7.560100e-03 	 2.804790e-03
7.580140e-03 	 2.739130e-03
7.600180e-03 	 2.674950e-03
7.620220e-03 	 2.612230e-03
7.640030e-03 	 2.550920e-03
7.660070e-03 	 2.491000e-03
7.680110e-03 	 2.432440e-03
7.700150e-03 	 2.375210e-03
7.720180e-03 	 2.319280e-03
7.740220e-03 	 2.264610e-03
7.760030e-03 	 2.211180e-03
7.780070e-03 	 2.158970e-03
7.800110e-03 	 2.107950e-03
7.820130e-03 	 2.058090e-03
7.840130e-03 	 2.009360e-03
7.860130e-03 	 1.961740e-03
7.880120e-03 	 1.915210e-03
7.900120e-03 	 1.869740e-03
7.920120e-03 	 1.825300e-03
7.940120e-03 	 1.781880e-03
7.960110e-03 	 1.739460e-03
7.980110e-03 	 1.698000e-03
8.000110e-03 	 1.657490e-03
8.020110e-03 	 1.617910e-03
8.040100e-03 	 1.579230e-03
8.060100e-03 	 1.541440e-03
8.080100e-03 	 1.504520e-03
8.100090e-03 	 1.468450e-03
8.120090e-03 	 1.433200e-03
8.140090e-03 	 1.398770e-03
8.160090e-03 	 1.365120e-03
8.180080e-03 	 1.332250e-03
8.200080e-03 	 1.300140e-03
8.220080e-03 	 1.268770e-03
8.240080e-03 	 1.238120e-03
8.260070e-03 	 1.208180e-03
8.280070e-03 	 1.178930e-03
8.300070e-03 	 1.150360e-03
8.320070e-03 	 1.122440e-03
8.340060e-03 	 1.095180e-03
8.360060e-03 	 1.068540e-03
8.380060e-03 	 1.042530e-03
8.400060e-03 	 1.017110e-03
8.420050e-03 	 9.920100e-04
8.440050e-03 	 9.677700e-04
8.460050e-03 	 9.440940e-04
8.480050e-03 	 9.209690e-04
8.500040e-03 	 8.983810e-04
8.520040e-03 	 8.763200e-04
8.540040e-03 	 8.547730e-04
8.560030e-03 	 8.337310e-04
8.580030e-03 	 8.131800e-04
8.600030e-03 	 7.931080e-04
8.620030e-03 	 7.735070e-04
8.640020e-03 	 7.543660e-04
8.660020e-03 	 7.356710e-04
8.680020e-03 	 7.174160e-04
8.700020e-03 	 6.995910e-04
8.720010e-03 	 6.821830e-04
8.740010e-03 	 6.651850e-04
8.760010e-03 	 6.485870e-04
8.780010e-03 	 6.323800e-04
8.800000e-03 	 6.165560e-04
8.820000e-03 	 6.011050e-04
8.840220e-03 	 5.860190e-04
8.860220e-03 	 5.712890e-04
8.880220e-03 	 5.569090e-04
8.900220e-03 	 5.428690e-04
8.920210e-03 	 5.291610e-04
8.940210e-03 	 5.157790e-04
8.960210e-03 	 5.027160e-04
8.980210e-03 	 4.899620e-04
9.000200e-03 	 4.775120e-04
9.020200e-03 	 4.653590e-04
9.040200e-03 	 4.534960e-04
9.060200e-03 	 4.419150e-04
9.080190e-03 	 4.306110e-04
9.100190e-03 	 4.195780e-04
9.120190e-03 	 4.088100e-04
9.140190e-03 	 3.982990e-04
9.160180e-03 	 3.880390e-04
9.180180e-03 	 3.780270e-04
9.200180e-03 	 3.682550e-04
9.220170e-03 	 3.587190e-04
9.240170e-03 	 3.494120e-04
9.260170e-03 	 3.403290e-04
9.280170e-03 	 3.314660e-04
9.300160e-03 	 3.228180e-04
9.320160e-03 	 3.143780e-04
9.340160e-03 	 3.061430e-04
9.360160e-03 	 2.981080e-04
9.380150e-03 	 2.902670e-04
9.400150e-03 	 2.826170e-04
9.420150e-03 	 2.751530e-04
9.440150e-03 	 2.678720e-04
9.460140e-03 	 2.607680e-04
9.480140e-03 	 2.538370e-04
9.500140e-03 	 2.470760e-04
9.520130e-03 	 2.404800e-04
9.540130e-03 	 2.340460e-04
9.560130e-03 	 2.277700e-04
9.580130e-03 	 2.216480e-04
9.600120e-03 	 2.156770e-04
9.620120e-03 	 2.098530e-04
9.640120e-03 	 2.041730e-04
9.660120e-03 	 1.986320e-04
9.680110e-03 	 1.932290e-04
9.700110e-03 	 1.879600e-04
9.720110e-03 	 1.828210e-04
9.740110e-03 	 1.778100e-04
9.760100e-03 	 1.729240e-04
9.780100e-03 	 1.681590e-04
9.800100e-03 	 1.635130e-04
9.820100e-03 	 1.589830e-04
9.840090e-03 	 1.545660e-04
9.860090e-03 	 1.502600e-04
9.880090e-03 	 1.460620e-04
9.900080e-03 	 1.419690e-04
9.920080e-03 	 1.379800e-04
9.940080e-03 	 1.340910e-04
9.960080e-03 	 1.303000e-04
9.980070e-03 	 1.266040e-04
1.000010e-02 	 1.230030e-04
1.002010e-02 	 1.194920e-04
1.004010e-02 	 1.160710e-04
1.006010e-02 	 1.127370e-04
1.008010e-02 	 1.094880e-04
1.010010e-02 	 1.063210e-04
1.012010e-02 	 1.032360e-04
1.014010e-02 	 1.001950e-04
1.016010e-02 	 9.726680e-05
1.018000e-02 	 9.441350e-05
1.020000e-02 	 9.163360e-05
1.022000e-02 	 8.892540e-05
1.024000e-02 	 8.628710e-05
1.026000e-02 	 8.371730e-05
1.028000e-02 	 8.121390e-05
1.030000e-02 	 7.877550e-05
1.032000e-02 	 7.640060e-05
1.034000e-02 	 7.408770e-05
1.036000e-02 	 7.183500e-05
1.038000e-02 	 6.964140e-05
1.040000e-02 	 6.750540e-05
1.042000e-02 	 6.542540e-05
1.044000e-02 	 6.340020e-05
1.046000e-02 	 6.142840e-05
1.048000e-02 	 5.950880e-05
1.050000e-02 	 5.764010e-05
1.052000e-02 	 5.582080e-05
1.054000e-02 	 5.405010e-05
1.056020e-02 	 5.232660e-05
1.058020e-02 	 5.064920e-05
1.060020e-02 	 4.901660e-05
1.062020e-02 	 4.742790e-05
1.064020e-02 	 4.588200e-05
1.066020e-02 	 4.437780e-05
1.068020e-02 	 4.291420e-05
1.070020e-02 	 4.149030e-05
1.072020e-02 	 4.010510e-05
1.074020e-02 	 3.875770e-05
1.076020e-02 	 3.744690e-05
1.078020e-02 	 3.617210e-05
1.080020e-02 	 3.493230e-05
1.082020e-02 	 3.372670e-05
1.084020e-02 	 3.255430e-05
1.086020e-02 	 3.141430e-05
1.088020e-02 	 3.030590e-05
1.090020e-02 	 2.922840e-05
1.092020e-02 	 2.818100e-05
1.094020e-02 	 2.716280e-05
1.096020e-02 	 2.617330e-05
1.098020e-02 	 2.521160e-05
1.100020e-02 	 2.427710e-05
1.102020e-02 	 2.336890e-05
1.104020e-02 	 2.248670e-05
1.106020e-02 	 2.162950e-05
1.108020e-02 	 2.079690e-05
1.110020e-02 	 1.998810e-05
1.112020e-02 	 1.920260e-05
1.114010e-02 	 1.843990e-05
1.116010e-02 	 1.769920e-05
1.118010e-02 	 1.698000e-05
1.120010e-02 	 1.628180e-05
1.122010e-02 	 1.560410e-05
1.124010e-02 	 1.494630e-05
1.126010e-02 	 1.430790e-05
1.128010e-02 	 1.368840e-05
1.130010e-02 	 1.308730e-05
1.132010e-02 	 1.250420e-05
1.134010e-02 	 1.193850e-05
1.136010e-02 	 1.138980e-05
1.138010e-02 	 1.085780e-05
1.140010e-02 	 1.034190e-05
1.142010e-02 	 9.841670e-06
1.144010e-02 	 9.356770e-06
1.146010e-02 	 8.886810e-06
1.148010e-02 	 8.431340e-06
1.150010e-02 	 7.990010e-06
1.152010e-02 	 7.562420e-06
1.154010e-02 	 7.148260e-06
1.156010e-02 	 6.747130e-06
1.158010e-02 	 6.358700e-06
1.160010e-02 	 5.982600e-06
1.162010e-02 	 5.618560e-06
1.164010e-02 	 5.266210e-06
1.166010e-02 	 4.925250e-06
1.168010e-02 	 4.595360e-06
1.170010e-02 	 4.276280e-06
1.172010e-02 	 3.967680e-06
1.174010e-02 	 3.669300e-06
